source_row,view_rate,view_rate_bin,hashtags,transaction,hashtag_count
479,0.03827160493827161,low_view_rate,hashtag=خليك|hashtag=شاورما_ومشاوي_الحلو,hashtag=خليك|hashtag=شاورما_ومشاوي_الحلو|low_view_rate,2
481,0.03827160493827161,low_view_rate,hashtag=شاورما_ومشاوي_الحلو,hashtag=شاورما_ومشاوي_الحلو|low_view_rate,1
482,0.03827160493827161,low_view_rate,hashtag=شاورما_الحلو|hashtag=مشاوي_غزة|hashtag=مطاعم_غزة|hashtag=النصر|hashtag=طعم_زمان,hashtag=شاورما_الحلو|hashtag=مشاوي_غزة|hashtag=مطاعم_غزة|hashtag=النصر|hashtag=طعم_زمان|low_view_rate,5
483,0.03827160493827161,low_view_rate,hashtag=شاورما_ومشاوي_الحلو,hashtag=شاورما_ومشاوي_الحلو|low_view_rate,1
484,0.03827160493827161,low_view_rate,hashtag=شاورما_ومشاوي_الحلو,hashtag=شاورما_ومشاوي_الحلو|low_view_rate,1
486,0.03827160493827161,low_view_rate,hashtag=🔥🔥|hashtag=شاورما_ومشاوي_الحلو,hashtag=🔥🔥|hashtag=شاورما_ومشاوي_الحلو|low_view_rate,2
488,0.03827160493827161,low_view_rate,hashtag=غزة|hashtag=مطعم_الحلو|hashtag=ملوك_الشاورما|hashtag=مشاوي_غزة|hashtag=طعم_زمان,hashtag=غزة|hashtag=مطعم_الحلو|hashtag=ملوك_الشاورما|hashtag=مشاوي_غزة|hashtag=طعم_زمان|low_view_rate,5
489,0.03827160493827161,low_view_rate,hashtag=شاورما_ومشاوي_الحلو,hashtag=شاورما_ومشاوي_الحلو|low_view_rate,1
493,0.049,low_view_rate,hashtag=cairo,hashtag=cairo|low_view_rate,1
512,0.021466666666666665,low_view_rate,hashtag=gaza|hashtag=palestine,hashtag=gaza|hashtag=palestine|low_view_rate,2
539,0.3157894736842105,avg_view_rate,hashtag=honor600,hashtag=honor600|avg_view_rate,1
542,0.6842105263157895,high_view_rate,hashtag=odoo|hashtag=odoomena|hashtag=odoocreatorsclub,hashtag=odoo|hashtag=odoomena|hashtag=odoocreatorsclub|high_view_rate,3
